EntertainmentRating,FoodRating,GroundServiceRating,OverallScore,Recommended,SeatComfortRating,ServiceRating,ValueRating,WifiRating,ID
0,4,4,9,yes,4,5,3,0,1
0,1,1,1,no,2,2,2,0,2
0,1,1,1,no,2,1,2,0,3
0,0,0,8,yes,0,0,4,0,4
0,0,0,1,no,0,0,0,0,5
0,0,0,1,no,0,0,0,0,6
0,1,1,2,no,1,3,1,0,7
0,0,5,9,yes,4,4,4,0,8
0,0,5,9,yes,4,5,4,0,9
0,0,3,8,yes,4,2,3,0,10
0,0,1,1,no,1,1,1,0,11
1,1,1,1,no,1,1,1,1,12
1,1,1,1,no,1,1,1,1,13
0,1,1,1,no,1,1,1,0,14
1,1,1,1,no,1,1,1,1,15
1,1,1,1,no,1,2,1,1,16
0,3,5,8,yes,4,4,5,0,17
1,0,1,1,no,2,1,1,1,18
0,1,4,1,no,4,1,1,0,19
0,0,3,2,no,3,3,2,0,20
0,2,2,2,no,1,2,1,0,21
0,0,1,3,no,3,3,1,0,22
0,5,5,10,yes,5,5,5,0,23
1,1,1,1,no,2,1,1,1,24
0,1,1,3,no,2,4,3,0,25
0,3,5,9,yes,5,5,3,0,26
0,0,1,2,no,3,3,1,0,27
0,1,1,2,no,3,4,2,1,28
4,4,5,9,yes,5,5,4,0,29
5,4,5,8,yes,5,5,4,5,30
0,0,5,10,yes,5,5,4,0,31
0,3,3,8,yes,4,4,4,0,32
3,1,4,5,no,3,5,1,3,33
1,2,3,2,no,1,1,1,0,34
2,1,2,3,no,3,1,2,0,35
0,0,4,3,no,2,2,4,0,36
4,3,3,6,yes,2,4,4,4,37
0,0,1,3,no,4,5,3,0,38
0,5,5,10,yes,5,5,5,0,39
0,3,5,8,yes,4,4,4,0,40
0,0,5,10,yes,5,5,5,0,41
2,2,4,6,yes,3,2,3,0,42
1,1,3,3,no,2,3,1,0,43
0,0,3,5,no,3,3,2,0,44
0,1,5,7,yes,5,1,5,0,45
4,5,5,9,yes,5,5,5,0,46
0,0,3,5,no,4,3,3,0,47
0,0,5,6,yes,4,5,2,0,48
0,0,5,10,yes,5,5,4,0,49
0,4,0,7,yes,4,4,4,0,50
1,4,0,10,yes,4,5,5,0,51
0,4,0,9,yes,5,5,5,0,52
