ID,Gender,Age,Customer Type,Cabin Type,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Entertainment,Baggage Handling,Satisfaction,Distance Group,EntertainmentRating,FoodRating,Recommended,ServiceRating,ValueRating
85485,Female,68,Returning,Economy,152,0,0,5,3,3,5,4,3,5,3,3,3,3,3,3,Neutral or Dissatisfied,short distance,1,1,no,1,1
85486,Male,60,Returning,Economy,214,0,0,0,2,3,2,4,5,3,4,2,2,5,2,5,Neutral or Dissatisfied,short distance,0,0,no,2,2
85487,Female,39,Returning,Economy,332,0,0,3,3,1,3,4,2,3,4,3,3,3,3,3,Neutral or Dissatisfied,short distance,0,5,yes,5,5
85489,Female,26,Returning,Economy,214,0,2,5,1,4,1,5,3,5,3,3,3,4,3,5,Neutral or Dissatisfied,short distance,0,0,no,1,2
85490,Male,23,Returning,Economy,152,1,0,5,0,3,0,2,3,2,4,2,2,4,2,4,Satisfied,short distance,4,5,yes,5,5
85491,Male,46,Returning,Economy,214,0,0,3,0,1,0,4,2,2,1,2,2,3,2,4,Neutral or Dissatisfied,short distance,2,2,no,3,2
85492,Female,53,Returning,Economy,106,3,2,5,3,3,2,2,1,5,3,1,2,1,1,1,Neutral or Dissatisfied,short distance,0,3,yes,5,5
85493,Male,42,Returning,Economy,332,0,0,2,3,1,3,4,1,5,3,5,5,4,5,4,Neutral or Dissatisfied,short distance,3,3,no,2,3
85495,Female,22,Returning,Economy,332,10,3,3,1,4,1,3,1,2,5,2,2,4,2,4,Neutral or Dissatisfied,short distance,0,1,no,1,1
85497,Female,14,Returning,Economy,332,0,0,4,4,4,4,4,3,1,2,1,1,4,1,3,Neutral or Dissatisfied,short distance,1,3,no,4,2
85498,Female,26,Returning,Economy,152,9,10,5,2,3,2,1,3,3,4,3,3,4,3,4,Neutral or Dissatisfied,short distance,0,0,no,0,1
85499,Female,7,Returning,Economy,214,0,0,0,4,4,4,3,5,3,5,3,3,4,3,5,Neutral or Dissatisfied,short distance,5,5,yes,5,3
85500,Female,47,Returning,Economy,214,2,0,4,3,3,5,3,3,4,3,5,5,3,3,3,Neutral or Dissatisfied,short distance,1,1,no,3,1
85501,Male,60,Returning,Economy,332,0,0,4,1,4,1,5,5,3,5,3,3,4,3,4,Neutral or Dissatisfied,short distance,1,1,no,1,1
85502,Male,60,Returning,Economy,152,0,0,4,3,5,3,3,4,1,4,1,1,4,1,4,Neutral or Dissatisfied,short distance,1,2,no,3,2
85504,Male,64,Returning,Economy,332,0,0,3,2,3,2,3,5,1,1,1,1,4,1,3,Neutral or Dissatisfied,short distance,4,4,no,4,1
85505,Female,36,Returning,Economy,106,0,5,5,2,3,2,2,3,5,2,5,5,5,5,4,Neutral or Dissatisfied,short distance,5,3,yes,4,4
85506,Female,37,Returning,Economy,332,0,0,4,2,5,2,1,5,1,4,1,1,5,1,5,Neutral or Dissatisfied,short distance,5,3,yes,5,1
85507,Male,37,Returning,Economy,332,0,0,5,4,4,4,3,3,5,4,2,2,4,2,5,Neutral or Dissatisfied,short distance,4,3,yes,5,5
85510,Male,38,Returning,Economy,152,0,2,5,3,4,3,3,3,5,5,5,5,4,5,4,Neutral or Dissatisfied,short distance,0,0,no,2,1
85511,Male,12,Returning,Economy,214,0,0,1,3,3,3,3,3,5,1,5,5,2,5,3,Neutral or Dissatisfied,short distance,2,2,yes,3,5
85513,Female,46,Returning,Business,214,0,0,5,0,3,5,2,3,5,3,4,5,3,3,2,Satisfied,short distance,1,1,no,1,1
85514,Male,59,Returning,Business,1734,0,0,3,4,3,4,3,5,4,5,3,2,5,5,4,Satisfied,moderate distance,1,1,no,3,2
85515,Female,40,Returning,Business,3276,3,1,4,0,4,4,2,4,4,4,3,5,4,4,2,Satisfied,long distance,3,2,no,1,1
85517,Female,30,Returning,Economy Plus,152,0,0,1,4,2,3,4,3,3,1,3,3,4,3,4,Neutral or Dissatisfied,short distance,3,3,no,4,2
85518,Female,49,Returning,Business,3095,4,0,0,0,5,5,1,5,4,5,5,5,5,5,5,Satisfied,long distance,2,2,no,5,1
85519,Male,33,Returning,Economy Plus,332,0,0,4,4,1,2,4,2,2,3,2,2,3,2,3,Neutral or Dissatisfied,short distance,0,1,no,1,1
85520,Male,16,Returning,Economy Plus,332,0,0,5,2,3,2,2,4,5,2,5,5,4,5,4,Neutral or Dissatisfied,short distance,5,5,yes,5,5
85523,Male,39,Returning,Business,2102,0,0,4,5,4,4,4,4,4,4,4,3,4,4,4,Satisfied,long distance,1,1,no,1,2
85524,Male,40,Returning,Business,259,0,0,0,0,4,5,2,3,5,3,4,3,3,3,3,Satisfied,short distance,0,2,no,4,1
85525,Male,64,First-time,Business,259,0,4,2,2,4,2,3,4,4,1,4,4,4,4,4,Neutral or Dissatisfied,short distance,0,0,no,0,1
85526,Female,57,Returning,Business,1919,0,0,4,4,4,4,4,5,5,5,4,2,5,5,5,Satisfied,long distance,1,1,no,1,1
85527,Female,40,First-time,Business,259,0,0,4,4,5,4,3,3,5,3,5,5,5,5,4,Satisfied,short distance,0,1,no,1,1
85529,Male,68,Returning,Business,259,0,0,3,4,3,5,4,4,1,4,2,5,4,4,4,Neutral or Dissatisfied,short distance,5,5,no,5,3
85530,Female,22,Returning,Business,259,0,0,1,0,2,0,3,2,5,5,5,5,3,5,2,Neutral or Dissatisfied,short distance,3,3,no,5,1
85531,Female,39,Returning,Business,259,0,0,3,4,4,4,4,4,5,4,3,3,4,4,4,Satisfied,short distance,4,5,yes,5,3
85532,Female,46,Returning,Business,259,0,0,5,5,5,5,5,4,4,4,5,5,4,4,4,Satisfied,short distance,5,4,yes,5,5
85533,Female,33,Returning,Business,3372,0,0,4,4,4,5,4,4,5,4,3,3,4,4,4,Satisfied,long distance,0,5,yes,5,5
85534,Female,50,Returning,Business,153,0,0,1,1,4,4,1,4,4,4,4,2,4,4,4,Satisfied,short distance,0,0,no,2,1
85535,Female,47,Returning,Business,1848,6,5,5,5,4,5,5,5,4,5,4,4,5,5,5,Satisfied,long distance,0,0,yes,5,5
85536,Female,29,First-time,Business,192,0,6,5,5,3,5,4,5,4,4,4,4,4,4,5,Satisfied,short distance,0,1,no,1,1
85539,Female,24,First-time,Economy,317,0,2,5,2,5,2,5,3,5,4,5,5,5,5,5,Neutral or Dissatisfied,short distance,0,0,no,0,1
85542,Female,40,Returning,Business,3194,0,0,2,2,5,4,2,4,4,4,3,3,4,4,4,Satisfied,long distance,3,4,yes,5,3
85543,Male,46,Returning,Business,259,0,0,5,4,3,4,4,4,4,4,3,5,4,4,4,Satisfied,short distance,0,2,no,3,1
85545,Male,40,First-time,Business,259,1,0,2,2,4,2,4,4,2,5,2,2,4,2,5,Neutral or Dissatisfied,short distance,3,4,yes,4,4
85546,Female,55,Returning,Business,1567,0,0,4,4,5,4,4,5,5,5,3,4,5,5,4,Satisfied,moderate distance,1,1,no,1,1
85547,Female,40,Returning,Business,2935,0,0,1,1,5,5,1,4,5,4,4,3,4,4,4,Satisfied,long distance,0,1,no,1,1
85548,Male,58,Returning,Business,2314,0,0,1,1,3,5,2,1,4,1,5,2,1,1,1,Satisfied,long distance,3,4,yes,1,3
85550,Female,46,Returning,Business,2022,0,0,3,3,3,5,3,5,5,5,3,4,5,5,5,Satisfied,long distance,0,0,no,0,1
85551,Female,48,Returning,Business,259,6,1,2,2,5,4,2,4,5,4,4,5,4,4,4,Satisfied,short distance,0,0,no,2,1
85552,Female,26,First-time,Economy,259,9,10,4,2,3,2,4,3,4,2,2,2,4,2,4,Neutral or Dissatisfied,short distance,5,5,no,5,1
85553,Female,53,Returning,Business,2853,0,0,3,5,4,4,3,5,5,5,3,5,5,5,5,Satisfied,long distance,0,5,yes,5,5
85554,Female,49,Returning,Business,317,0,0,1,1,4,4,1,4,5,4,5,3,4,4,4,Satisfied,short distance,5,5,yes,5,4
85555,Female,20,First-time,Business,192,0,0,5,5,4,5,1,3,5,2,5,5,5,5,4,Satisfied,short distance,4,4,yes,5,4
85556,Female,48,Returning,Business,153,0,0,5,5,4,5,5,5,5,5,5,5,5,5,4,Satisfied,short distance,5,5,yes,5,5
85557,Female,49,Returning,Business,153,0,0,4,0,5,4,3,3,4,3,4,4,3,3,3,Satisfied,short distance,3,5,yes,5,4
85559,Female,56,First-time,Business,192,1,0,4,4,3,4,4,4,1,2,1,1,4,1,5,Neutral or Dissatisfied,short distance,0,0,no,1,1
85563,Female,64,Returning,Business,2010,0,0,1,1,1,2,1,3,2,3,3,3,3,3,1,Neutral or Dissatisfied,long distance,3,3,yes,5,3
85564,Female,55,Returning,Economy,153,0,0,5,5,1,2,5,2,2,3,1,5,2,2,2,Neutral or Dissatisfied,short distance,2,1,no,4,2
85565,Female,44,Returning,Business,3340,0,0,0,0,5,4,3,5,4,5,3,4,5,5,5,Satisfied,long distance,4,3,yes,3,4
85566,Male,52,Returning,Business,3286,0,0,4,4,4,3,4,3,3,3,2,3,3,3,3,Neutral or Dissatisfied,long distance,3,1,no,1,1
85567,Female,30,Returning,Business,3560,1,0,0,0,4,3,4,3,3,5,3,3,4,3,4,Satisfied,long distance,0,2,no,2,1
85568,Male,55,Returning,Business,2520,0,0,4,5,5,5,5,4,4,4,4,2,4,4,4,Satisfied,long distance,0,0,no,1,1
85569,Male,36,Returning,Business,3114,0,0,1,1,4,5,1,3,4,4,5,4,3,3,5,Satisfied,long distance,1,2,no,3,2
85570,Male,48,Returning,Business,259,0,0,0,0,4,4,1,3,4,3,3,4,3,3,3,Satisfied,short distance,0,1,no,2,1
85571,Male,19,First-time,Economy,259,0,0,4,2,1,2,3,1,1,2,1,1,4,1,3,Neutral or Dissatisfied,short distance,4,4,yes,5,4
85574,Female,21,First-time,Economy,192,0,0,0,4,5,4,4,5,4,4,1,1,4,1,4,Satisfied,short distance,0,0,no,0,1
85575,Female,30,Returning,Business,2927,2,8,3,3,4,2,3,4,2,5,2,2,2,2,1,Neutral or Dissatisfied,long distance,0,0,no,0,1
85576,Female,47,Returning,Economy,259,0,0,1,1,2,4,1,3,3,3,3,4,3,3,3,Neutral or Dissatisfied,short distance,0,0,no,1,1
85577,Female,80,Returning,Business,3464,0,0,1,1,5,4,1,4,4,4,4,2,4,4,4,Satisfied,long distance,5,4,yes,5,4
85579,Female,68,First-time,Economy,259,4,6,2,4,2,4,4,2,3,2,2,2,3,2,3,Neutral or Dissatisfied,short distance,5,5,no,5,2
