Age,Flight Distance,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Satisfaction
68.0,152.0,0.0,5.0,3.0,3.0,5.0,4.0,3.0,5.0,Neutral or Dissatisfied
60.0,214.0,0.0,0.0,2.0,3.0,2.0,4.0,5.0,3.0,Neutral or Dissatisfied
39.0,332.0,0.0,3.0,3.0,1.0,3.0,4.0,2.0,3.0,Neutral or Dissatisfied
26.0,214.0,2.0,5.0,1.0,4.0,1.0,5.0,3.0,5.0,Neutral or Dissatisfied
23.0,152.0,0.0,5.0,0.0,3.0,0.0,2.0,3.0,2.0,Satisfied
46.0,214.0,0.0,3.0,0.0,1.0,0.0,4.0,2.0,2.0,Neutral or Dissatisfied
53.0,106.0,2.0,5.0,3.0,3.0,2.0,2.0,1.0,5.0,Neutral or Dissatisfied
42.0,332.0,0.0,2.0,3.0,1.0,3.0,4.0,1.0,5.0,Neutral or Dissatisfied
22.0,332.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,Neutral or Dissatisfied
14.0,332.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,Neutral or Dissatisfied
26.0,152.0,10.0,5.0,2.0,3.0,2.0,1.0,3.0,3.0,Neutral or Dissatisfied
7.0,214.0,0.0,0.0,4.0,4.0,4.0,3.0,5.0,3.0,Neutral or Dissatisfied
47.0,214.0,0.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,Neutral or Dissatisfied
60.0,332.0,0.0,4.0,1.0,4.0,1.0,5.0,5.0,3.0,Neutral or Dissatisfied
60.0,152.0,0.0,4.0,3.0,5.0,3.0,3.0,4.0,1.0,Neutral or Dissatisfied
64.0,332.0,0.0,3.0,2.0,3.0,2.0,3.0,5.0,1.0,Neutral or Dissatisfied
36.0,106.0,5.0,5.0,2.0,3.0,2.0,2.0,3.0,5.0,Neutral or Dissatisfied
37.0,332.0,0.0,4.0,2.0,5.0,2.0,1.0,5.0,1.0,Neutral or Dissatisfied
37.0,332.0,0.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,Neutral or Dissatisfied
38.0,152.0,2.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,Neutral or Dissatisfied
12.0,214.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,Neutral or Dissatisfied
46.0,214.0,0.0,5.0,0.0,3.0,5.0,2.0,3.0,5.0,Satisfied
59.0,1734.0,0.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,Satisfied
40.0,3276.0,1.0,4.0,0.0,4.0,4.0,2.0,4.0,4.0,Satisfied
30.0,152.0,0.0,1.0,4.0,2.0,3.0,4.0,3.0,3.0,Neutral or Dissatisfied
49.0,3095.0,0.0,0.0,0.0,5.0,5.0,1.0,5.0,4.0,Satisfied
33.0,332.0,0.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,Neutral or Dissatisfied
16.0,332.0,0.0,5.0,2.0,3.0,2.0,2.0,4.0,5.0,Neutral or Dissatisfied
39.0,2102.0,0.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,Satisfied
40.0,259.0,0.0,0.0,0.0,4.0,5.0,2.0,3.0,5.0,Satisfied
64.0,259.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,Neutral or Dissatisfied
57.0,1919.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,Satisfied
40.0,259.0,0.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,Satisfied
68.0,259.0,0.0,3.0,4.0,3.0,5.0,4.0,4.0,1.0,Neutral or Dissatisfied
22.0,259.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,5.0,Neutral or Dissatisfied
39.0,259.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,Satisfied
46.0,259.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,Satisfied
33.0,3372.0,0.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,Satisfied
50.0,153.0,0.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,Satisfied
47.0,1848.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,Satisfied
29.0,192.0,6.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,Satisfied
24.0,317.0,2.0,5.0,2.0,5.0,2.0,5.0,3.0,5.0,Neutral or Dissatisfied
40.0,3194.0,0.0,2.0,2.0,5.0,4.0,2.0,4.0,4.0,Satisfied
46.0,259.0,0.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,Satisfied
40.0,259.0,0.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,Neutral or Dissatisfied
55.0,1567.0,0.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,Satisfied
40.0,2935.0,0.0,1.0,1.0,5.0,5.0,1.0,4.0,5.0,Satisfied
58.0,2314.0,0.0,1.0,1.0,3.0,5.0,2.0,1.0,4.0,Satisfied
46.0,2022.0,0.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,Satisfied
48.0,259.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,5.0,Satisfied
26.0,259.0,10.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,Neutral or Dissatisfied
53.0,2853.0,0.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,Satisfied
49.0,317.0,0.0,1.0,1.0,4.0,4.0,1.0,4.0,5.0,Satisfied
20.0,192.0,0.0,5.0,5.0,4.0,5.0,1.0,3.0,5.0,Satisfied
48.0,153.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,Satisfied
49.0,153.0,0.0,4.0,0.0,5.0,4.0,3.0,3.0,4.0,Satisfied
56.0,192.0,0.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,Neutral or Dissatisfied
64.0,2010.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,Neutral or Dissatisfied
55.0,153.0,0.0,5.0,5.0,1.0,2.0,5.0,2.0,2.0,Neutral or Dissatisfied
