Age,Flight Distance,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Satisfaction
62.0,2639.0,0.0,4.0,4.0,2.0,3.0,4.0,5.0,1.0,Satisfied
39.0,2165.0,0.0,2.0,2.0,4.0,4.0,2.0,3.0,5.0,Satisfied
41.0,997.0,0.0,5.0,5.0,1.0,4.0,5.0,3.0,1.0,Satisfied
47.0,3735.0,0.0,2.0,2.0,5.0,5.0,2.0,5.0,5.0,Satisfied
30.0,2481.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,Satisfied
43.0,3065.0,0.0,0.0,0.0,5.0,5.0,4.0,2.0,1.0,Satisfied
55.0,409.0,0.0,5.0,4.0,5.0,5.0,2.0,5.0,4.0,Satisfied
45.0,3346.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,Satisfied
43.0,425.0,0.0,0.0,4.0,4.0,4.0,2.0,4.0,2.0,Neutral or Dissatisfied
61.0,551.0,0.0,4.0,3.0,3.0,3.0,4.0,1.0,5.0,Neutral or Dissatisfied
33.0,163.0,1.0,4.0,0.0,4.0,0.0,1.0,4.0,1.0,Neutral or Dissatisfied
66.0,1533.0,0.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0,Neutral or Dissatisfied
52.0,3886.0,0.0,3.0,3.0,3.0,5.0,3.0,2.0,4.0,Satisfied
57.0,429.0,0.0,5.0,3.0,1.0,2.0,5.0,4.0,1.0,Satisfied
23.0,879.0,0.0,3.0,3.0,1.0,4.0,3.0,2.0,4.0,Neutral or Dissatisfied
60.0,775.0,9.0,5.0,1.0,3.0,5.0,3.0,2.0,5.0,Neutral or Dissatisfied
29.0,844.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,Satisfied
16.0,853.0,0.0,5.0,3.0,5.0,3.0,1.0,5.0,2.0,Neutral or Dissatisfied
25.0,512.0,0.0,4.0,3.0,4.0,3.0,1.0,3.0,2.0,Neutral or Dissatisfied
