ID,Gender,Age,Customer Type,Cabin Type,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Entertainment,Baggage Handling,Satisfaction,Distance Group,EntertainmentRating,FoodRating,GroundServiceRating,OverallScore,Recommended,SeatComfortRating,ServiceRating,ValueRating,WifiRating
85485,Female,68,Returning,Economy,152,0,0,5,3,3,5,4,3,5,3,3,3,3,3,3,Neutral or Dissatisfied,short distance,1,1,1,2,no,1,1,1,1
85486,Male,60,Returning,Economy,214,0,0,0,2,3,2,4,5,3,4,2,2,5,2,5,Neutral or Dissatisfied,short distance,0,0,2,2,no,2,2,2,0
85487,Female,39,Returning,Economy,332,0,0,3,3,1,3,4,2,3,4,3,3,3,3,3,Neutral or Dissatisfied,short distance,0,5,5,10,yes,1,5,5,0
85489,Female,26,Returning,Economy,214,0,2,5,1,4,1,5,3,5,3,3,3,4,3,5,Neutral or Dissatisfied,short distance,0,0,2,1,no,1,1,2,0
85490,Male,23,Returning,Economy,152,1,0,5,0,3,0,2,3,2,4,2,2,4,2,4,Satisfied,short distance,4,5,5,10,yes,5,5,5,0
85491,Male,46,Returning,Economy,214,0,0,3,0,1,0,4,2,2,1,2,2,3,2,4,Neutral or Dissatisfied,short distance,2,2,1,3,no,2,3,2,1
85492,Female,53,Returning,Economy,106,3,2,5,3,3,2,2,1,5,3,1,2,1,1,1,Neutral or Dissatisfied,short distance,0,3,5,8,yes,3,5,5,0
85493,Male,42,Returning,Economy,332,0,0,2,3,1,3,4,1,5,3,5,5,4,5,4,Neutral or Dissatisfied,short distance,3,3,1,1,no,3,2,3,0
85495,Female,22,Returning,Economy,332,10,3,3,1,4,1,3,1,2,5,2,2,4,2,4,Neutral or Dissatisfied,short distance,0,1,1,1,no,1,1,1,0
85497,Female,14,Returning,Economy,332,0,0,4,4,4,4,4,3,1,2,1,1,4,1,3,Neutral or Dissatisfied,short distance,1,3,3,2,no,3,4,2,1
85498,Female,26,Returning,Economy,152,9,10,5,2,3,2,1,3,3,4,3,3,4,3,4,Neutral or Dissatisfied,short distance,0,0,1,1,no,0,0,1,0
85499,Female,7,Returning,Economy,214,0,0,0,4,4,4,3,5,3,5,3,3,4,3,5,Neutral or Dissatisfied,short distance,5,5,2,9,yes,5,5,3,4
85500,Female,47,Returning,Economy,214,2,0,4,3,3,5,3,3,4,3,5,5,3,3,3,Neutral or Dissatisfied,short distance,1,1,1,1,no,4,3,1,1
85501,Male,60,Returning,Economy,332,0,0,4,1,4,1,5,5,3,5,3,3,4,3,4,Neutral or Dissatisfied,short distance,1,1,1,1,no,1,1,1,1
85502,Male,60,Returning,Economy,152,0,0,4,3,5,3,3,4,1,4,1,1,4,1,4,Neutral or Dissatisfied,short distance,1,2,3,2,no,2,3,2,0
85504,Male,64,Returning,Economy,332,0,0,3,2,3,2,3,5,1,1,1,1,4,1,3,Neutral or Dissatisfied,short distance,4,4,1,1,no,3,4,1,4
85505,Female,36,Returning,Economy,106,0,5,5,2,3,2,2,3,5,2,5,5,5,5,4,Neutral or Dissatisfied,short distance,5,3,4,8,yes,4,4,4,3
85506,Female,37,Returning,Economy,332,0,0,4,2,5,2,1,5,1,4,1,1,5,1,5,Neutral or Dissatisfied,short distance,5,3,1,4,yes,2,5,1,3
85507,Male,37,Returning,Economy,332,0,0,5,4,4,4,3,3,5,4,2,2,4,2,5,Neutral or Dissatisfied,short distance,4,3,5,9,yes,5,5,5,2
85510,Male,38,Returning,Economy,152,0,2,5,3,4,3,3,3,5,5,5,5,4,5,4,Neutral or Dissatisfied,short distance,0,0,1,1,no,3,2,1,0
